1,98,415,0,0
2,105,408,35,-35
3,112,401,35,-35
4,119,394,35,-35
5,126,387,35,-35
6,133,380,35,-35
7,140,373,35,-35
8,147,366,35,-35
9,154,359,35,-35
10,161,352,35,-35
11,168,345,35,-35
12,175,338,35,-35
13,182,331,35,-35
14,189,324,35,-35
15,195,317,30,-35
16,188,310,-35,-35
17,181,303,-35,-35
18,174,296,-35,-35
19,167,289,-35,-35
20,160,282,-35,-35
21,153,275,-35,-35
22,146,268,-35,-35
23,139,261,-35,-35
24,132,254,-35,-35
25,125,247,-35,-35
26,118,240,-35,-35
27,111,233,-35,-35
28,104,226,-35,-35
29,97,219,-35,-35
30,90,212,-35,-35
31,83,205,-35,-35
32,76,198,-35,-35
33,69,191,-35,-35
34,62,184,-35,-35
35,55,177,-35,-35
36,48,170,-35,-35
37,41,163,-35,-35
38,34,156,-35,-35
39,27,149,-35,-35
40,20,142,-35,-35
41,13,135,-35,-35
42,6,128,-35,-35
43,0,121,-30,-35
44,7,114,35,-35
45,14,107,35,-35
46,21,100,35,-35
47,28,93,35,-35
48,35,86,35,-35
49,42,80,35,-30
50,35,87,-35,35
51,28,94,-35,35
52,21,101,-35,35
53,14,108,-35,35
54,7,115,-35,35
55,0,122,-35,35
56,7,129,35,35
57,14,136,35,35
58,21,143,35,35
59,28,150,35,35
60,35,157,35,35
61,42,164,35,35
62,49,171,35,35
63,56,178,35,35
64,63,185,35,35
65,70,192,35,35
66,77,199,35,35
67,84,206,35,35
68,91,213,35,35
69,98,220,35,35
70,105,227,35,35
71,112,234,35,35
72,119,235,35,5
73,126,228,35,-35
74,133,221,35,-35
75,140,214,35,-35
76,147,207,35,-35
77,154,200,35,-35
78,161,193,35,-35
79,168,186,35,-35
80,175,179,35,-35
81,182,172,35,-35
82,189,165,35,-35
83,195,158,30,-35
84,188,151,-35,-35
85,181,144,-35,-35
86,174,137,-35,-35
87,167,130,-35,-35
88,160,123,-35,-35
89,153,116,-35,-35
90,146,109,-35,-35
91,139,102,-35,-35
92,132,95,-35,-35
93,125,88,-35,-35
94,118,81,-35,-35
95,111,80,-35,-5
96,101,87,-50,35
97,91,94,-50,35
98,81,101,-50,35
99,71,108,-50,35
100,61,115,-50,35
101,50,123,-55,40
102,39,131,-55,40
103,28,139,-55,40
104,17,147,-55,40
105,6,155,-55,40
106,0,163,-30,40
107,11,171,55,40
108,22,179,55,40
109,33,187,55,40
110,44,195,55,40
111,55,203,55,40
112,66,211,55,40
113,77,219,55,40
114,88,227,55,40
115,99,235,55,40
116,110,243,55,40
117,120,251,50,40
118,109,259,-55,40
119,98,267,-55,40
120,87,275,-55,40
121,76,283,-55,40
122,65,291,-55,40
123,54,299,-55,40
124,43,307,-55,40
125,32,315,-55,40
126,21,323,-55,40
127,10,331,-55,40
128,0,339,-50,40
129,11,347,55,40
130,22,355,55,40
131,33,363,55,40
132,44,371,55,40
133,55,379,55,40
134,66,387,55,40
135,77,395,55,40
136,88,403,55,40
137,99,411,55,40
138,110,415,55,20
139,121,407,55,-40
140,132,399,55,-40
141,143,391,55,-40
142,154,383,55,-40
143,165,375,55,-40
144,176,367,55,-40
145,187,359,55,-40
146,195,351,40,-40
147,184,343,-55,-40
148,173,335,-55,-40
149,162,327,-55,-40
150,151,319,-55,-40
151,140,311,-55,-40
152,129,303,-55,-40
153,118,295,-55,-40
154,107,287,-55,-40
155,96,279,-55,-40
156,85,271,-55,-40
157,74,263,-55,-40
158,63,255,-55,-40
159,52,247,-55,-40
160,41,239,-55,-40
161,30,231,-55,-40
162,19,223,-55,-40
163,8,215,-55,-40
164,0,207,-40,-40
165,11,199,55,-40
166,22,191,55,-40
167,33,183,55,-40
168,44,175,55,-40
169,55,167,55,-40
170,66,159,55,-40
171,77,151,55,-40
172,88,143,55,-40
173,99,135,55,-40
174,110,127,55,-40
175,121,119,55,-40
176,132,111,55,-40
177,143,103,55,-40
178,154,95,55,-40
179,165,87,55,-40
180,176,79,55,-40
181,187,71,55,-40
182,195,63,40,-40
