176,180,176,79,55,-40
176,179,165,87,55,-40
176,178,154,95,55,-40
176,177,143,103,55,-40
176,176,132,111,55,-40
176,175,121,119,55,-40
176,174,110,127,55,-40
176,173,99,135,55,-40
176,172,88,143,55,-40
176,171,77,151,55,-40
176,170,66,159,55,-40
176,169,55,167,55,-40
176,168,44,175,55,-40
176,167,33,183,55,-40
176,166,22,191,55,-40
176,165,11,199,55,-40
176,164,0,207,-40,-40
176,163,8,215,-55,-40
176,162,19,223,-55,-40
176,161,30,231,-55,-40
176,160,41,239,-55,-40
176,159,52,247,-55,-40
176,158,63,255,-55,-40
176,157,74,263,-55,-40
176,156,85,271,-55,-40
176,155,96,279,-55,-40
176,154,107,287,-55,-40
176,153,118,295,-55,-40
176,152,129,303,-55,-40
176,151,140,311,-55,-40
176,150,151,319,-55,-40
176,149,162,327,-55,-40
176,148,173,335,-55,-40
176,147,184,343,-55,-40
176,146,195,351,40,-40
176,145,187,359,55,-40
176,144,176,367,55,-40
176,143,165,375,55,-40
176,142,154,383,55,-40
176,141,143,391,55,-40
176,140,132,399,55,-40
176,139,121,407,55,-40
176,138,110,415,55,20
176,137,99,411,55,40
176,136,88,403,55,40
176,135,77,395,55,40
176,134,66,387,55,40
176,133,55,379,55,40
176,132,44,371,55,40
176,131,33,363,55,40
176,130,22,355,55,40
176,129,11,347,55,40
176,128,0,339,-50,40
176,127,10,331,-55,40
176,126,21,323,-55,40
176,125,32,315,-55,40
176,124,43,307,-55,40
176,123,54,299,-55,40
176,122,65,291,-55,40
176,121,76,283,-55,40
176,120,87,275,-55,40
176,119,98,267,-55,40
176,118,109,259,-55,40
176,117,120,251,50,40
176,116,110,243,55,40
176,115,99,235,55,40
176,114,88,227,55,40
176,113,77,219,55,40
176,112,66,211,55,40
176,111,55,203,55,40
176,110,44,195,55,40
176,109,33,187,55,40
176,108,22,179,55,40
176,107,11,171,55,40
176,106,0,163,-30,40
176,105,6,155,-55,40
176,104,17,147,-55,40
176,103,28,139,-55,40
176,102,39,131,-55,40
176,101,50,123,-55,40
176,100,61,115,-50,35
176,99,71,108,-50,35
176,98,81,101,-50,35
176,97,91,94,-50,35
176,96,101,87,-50,35
176,95,111,80,-35,-5
